,ГПЗ,Компания_x,Тип,"Подключен к газопроводу - 1, нет - 0",Год основания_x,"Численность сотрудников, чел","Установленная мощность по переработке природного и попутного газа, млрд куб. м","Установленная мощность по переработке нефти, стабильного газового конденсата, деэтанизированного конденсата, млн т","Установленная мощность по переработке нестабильного газового конденсата, млн т.","Первичная переработка нефти и конденсата, млн т/год","Глубина переработки, %",Окончание модернизации,"Глубина переработки (ожидаемая) после завершения модернизации, %","Автомобильный бензин, млн т","Дизельное топливо, млн т","Керосин, млн т","Нафта, млн т","Мазут, млн т","Прочее, млн т",Состояние_x,Имеющиеся установки,Планы по модернизации,Страна_x,Регион,Город_x,Адрес_x,Сайт,Электронная почта,Официальное название,Широта_x,Долгота_x,Компания_y,Состояние_y,Страна_y,Город_y,Адрес_y,"Высота над уровнем моря, м",Первичная переработка природного газа и ПНГ,Первичная переработка нефти и конденсата,Объем производства пропана,Стабильный газовый конденсат,Объем производства гелия,Объем производства этана,Объем производства пропана.1,Объем производства бутана,Объем производства пентан-гексановой фракции,Год основания_y,Широта_y,Долгота_y
0,Астраханский ГПЗ,ООО «Газпром переработка»,ГПЗ,1,1976.0,3520.0,12.0,3.0,7.3,2.0383,81.0,2020.0,91.3,0.9389,0.544,0.0,,0.3322,0.0,в эксплуатации,"установки сепарации пластового газа высокого давления (14 У171, 12 У271); установки сероочистки газа раствором диэтаноламина (14 У172, 12 У272); установки осушки и отбензинивания очищенного газа (У174, 274); установок по производству и хранению серы и доочистки отходящих газов (14 У151, 12 У251); установки очистки и компремирования газов выветривания конденсата (У141, 241); установки стабилизации конденсата и обработки пластовой воды (У120, 220); комбинированная установка, включающая ус­тановку атмосферной перегонки (АТ3) мощностью3млнт/год, газофракционирующую установку(1,8млнт/год) и установку очистки пропанбутановой фракции по методу «Мерокс» (250тыс.т); установка гидроочистки мощностью 2млнт/год; установка каталитического риформинга мощностью 1млнт/год; установка сжигания производственных отходов (У165,265); факельное хозяйство; объекты складской зоны, включающие: складсветлых нефтепродуктов (16 резервуаров по 10000м3),склад сжиженных углеводородных газов (40 буллитов, горизонтальных цилиндрических резервуаров, по 200м3); три наливные эстакады светлых нефтепродуктов на 150 стояков; установка автоматического налива жидкой серы (производительностью 1200т/ч); установка механизированной погрузки твёрдой серы — 600т/ч; установки грануляции серы; подземные хранилища нестабильного конденсата и нефтепродуктов; объекты вспомогательного производственного и обслуживающего назначения; азотнокислородная станция, цех наполнения и хранения кислородных баллонов, склады химических реагентов и масел, склад оборудования, ремонтномеханический цех, центральная заводская лаборатория, инженернолабораторный корпус, заводоуправление, объекты энерговодоснабжения с водозабором на р.Бузан, внешние и внутренние железнодорожные и автомобильные дороги с сооружениями на них и др","создание пиролизного производства этановой фракции и производства полиэтилена (мощностью до 200тыс.т/год); строительство завода по переработке пластмасс,для этого необходима реконструкция установок отбензинивания газа (У174 и У274); проекты, целью которых является увеличение объёмов выпуска и экспорта серы, производства высокотехнологичных серосодержащих строительных и дорожных материалов",Россия,Астраханская область,,"416154, Астраханская обл., Красноярскии р-н, пос. Аксарайский",http://www.gazprom.ru/about/subsidiaries/list-items/gazprom-dobycha-astrakhan/,,ПАО 'Газпром добыча Астрахань',46.793054999999995,8.0028509,ООО «Газпром переработка»,в эксплуатации  ,Россия,Астрахань,,-16.33, 12 млрд. м³/год   ,,,,,,,,,,46.773143,48.114538
1,Амурский ГПЗ,ООО «Газпром переработка»,ГПЗ,0,,,42.0,,,,,,,,,,,,,в эксплуатации,,,,,,,,,,,,ООО «Газпром переработка»,строится,Россия,Свободный," 676450, Амурская область, городской округ город Свободный, город Свободный, Территория ТОСЭР Свободный",220.75, 42 млрд. м³/годКоличество технологических линий (очередей),,,, 60 млн. м³/год, 2.50 млн. тонн/год, 1 млн. тонн/год, 0.50 млн. тонн/год, 0.20 млн. тонн/год   ,,51.536726,128.180752
2,Белозерский ГПК,АО «СибурТюменьГаз»,ГПЗ,0,,,4.6,,,,,,,,,,,,,в эксплуатации,,,,,,,,,,,,АО «СибурТюменьГаз»,в эксплуатации  ,Россия,Нижневартовск,"628616, Тюменская обл., Ханты-Мансийский автономный округ, г. Нижневартовск, ул. Омская, д.1",86.51, 4.60 млрд. м³/год  ,,,,,,,,,1980.0,61.262393,77.049351
3,Вынгапуровский ГПЗ,АО «СибурТюменьГаз»,ГПЗ,1,,,4.2,,,,,,,,,,,,,в эксплуатации,,,,,,,,,,,,АО «СибурТюменьГаз»,в эксплуатации  ,Россия,Ноябрьск,"629850, Ямало-Ненецкий автономный округ, Пуровский район, Вынгапуровское месторождение, Вынгапуровский ГПЗ",133.58, 4.20 млрд. м³/год  ,,,,,,,,,2012.0,62.994379,76.86676700000001
4,Губкинский ГПК,АО «СибурТюменьГаз»,ГПЗ,0,,,2.6,,,,,,,,,,,,,в эксплуатации,,,,,,,,,,,,АО «СибурТюменьГаз»,в эксплуатации  ,Россия,Губкинский,"29830, Ямало-Ненецкий автономный округ, г. Губкинский, промзона",63.78, 2.60 млрд. м³/год  ,,,,,,,,,1987.0,64.458846,76.422873
5,Зайкинское ГПП,ПАО «Оренбургнефть»,ГПЗ,0,,,2.2,,,,,,,,,,,,,в эксплуатации,,,,,,,,,,,,ПАО «Оренбургнефть»,в эксплуатации  ,Россия,село Большая Черниговка,,, 2.20 млрд. м³/год  ,,,,,,,,,2001.0,52.160139,51.590595
6,Коробковский ГПЗ,ООО «ЛУКОЙЛ-КГПЗ»,ГПЗ,0,,,0.45,,,,,,,,,,,,,в эксплуатации,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Локосовский ГПК,ООО «ЛУКОЙЛ-Западная Сибирь»,ГПЗ,1,,,2.14,,,,,,,,,,,,,в эксплуатации,,,,,,,,,,,,ООО «ЛУКОЙЛ-Западная Сибирь»,в эксплуатации  ,Россия,Лангепас,"628672, Россия, Тюменская обл., Ханты-Мансийский автономный округ - Югра, г. Лангепас, ул. Ленина, 43",45.34, 2.14 млрд. м³/год  ,,,,,,,,,1983.0,61.263363,75.093055
8,Миннибаевский ГПЗ,ПАО «Татнефть»,ГПЗ,0,,,3.6,,,,,,,,,,,,,в эксплуатации,,,,,,,,,,,,ПАО «Татнефть»,в эксплуатации  ,Россия,Альметьевск,"423460 Республика Татарстан, г. Альметьевск-10",128.31, 3.60 млрд. м³/год  ,,,,,,,,,1956.0,54.83391700000001,52.435467
9,Газохимический завод «Мономер»,ООО «Газпром переработка»,,0,,,1.0,,,,,,,,,,,,,в эксплуатации,,,,,,,,,,,,ООО «Газпром переработка»,в эксплуатации  ,Россия,Салават,,182.55, 1 млрд. м³/год   ,,,,,,,,,,53.412576,55.86153
